year;gender;study_level;major;ai_usage_frequency;primary_ai_use;academic_integrity_training;study_hours_week;ai_hours_week;attendance_rate;assignment_completion_rate;exam_score;gpa
2023;female;undergraduate;engineering;weekly;writing support;yes;19.5;4.0;82.4;81.9;91.2;3.76
2025;female;undergraduate;social sciences;weekly;other;yes;13.2;6.4;87.5;92.8;87.9;3.92
2023;male;undergraduate;social sciences;weekly;writing support;yes;13.6;3.5;80.8;90.8;90.7;3.81
2023;female;undergraduate;business;rarely;writing support;yes;12.9;2.5;84.0;74.8;79.9;3.53
2025;male;undergraduate;social sciences;weekly;concept explanation;yes;21.8;4.5;85.7;79.5;100.0;3.89
2024;female;undergraduate;business;weekly;coding help;yes;29.4;2.9;81.0;99.0;93.0;3.81
2023;female;undergraduate;computer science;weekly;writing support;no;19.3;4.7;85.6;75.1;84.9;3.71
2023;female;masters;arts humanities;weekly;coding help;yes;27.2;2.0;96.2;94.6;95.0;4.0
2024;male;undergraduate;arts humanities;weekly;writing support;yes;14.6;4.0;83.4;75.9;79.8;3.63
2023;female;undergraduate;social sciences;weekly;research/reading;no;10.7;4.0;84.9;76.0;70.5;3.49
2025;male;undergraduate;business;daily;coding help;no;10.9;5.0;87.0;82.0;94.0;3.92
2023;female;undergraduate;business;weekly;writing support;no;18.1;3.3;89.7;90.4;100.0;4.0
2023;male;undergraduate;engineering;weekly;writing support;yes;22.9;6.1;98.4;96.6;99.6;4.0
2023;male;undergraduate;social sciences;never;translation;no;9.4;0.2;88.1;78.0;80.2;3.68
2024;female;undergraduate;health sciences;weekly;research/reading;yes;17.9;3.3;100.0;92.5;91.5;4.0
2024;female;undergraduate;computer science;daily;studying/flashcards;yes;35.0;4.8;72.2;97.4;100.0;4.0
2023;male;undergraduate;business;daily;writing support;no;9.4;9.1;85.0;71.2;64.9;3.12
2025;male;masters;health sciences;weekly;translation;yes;11.0;3.9;94.2;84.2;95.9;3.79
2025;female;phd;computer science;weekly;studying/flashcards;no;17.2;3.6;96.0;93.9;97.1;4.0
2023;female;phd;social sciences;never;writing support;yes;25.5;0.0;84.0;95.7;83.7;3.82
2025;male;undergraduate;social sciences;weekly;research/reading;no;24.0;1.4;85.1;93.2;100.0;3.92
2025;female;undergraduate;health sciences;daily;studying/flashcards;yes;22.0;7.1;97.0;88.8;95.0;3.95
2024;female;undergraduate;computer science;weekly;research/reading;no;32.0;2.6;87.3;94.2;89.6;3.98
2025;female;undergraduate;business;weekly;coding help;yes;16.0;2.7;85.3;88.9;87.8;3.78
2024;male;undergraduate;engineering;daily;coding help;yes;15.9;7.2;91.8;87.8;78.7;3.9
2025;male;undergraduate;social sciences;daily;translation;yes;24.2;8.0;87.5;81.7;100.0;4.0
2024;male;masters;business;weekly;concept explanation;yes;26.9;3.9;88.9;85.2;98.6;4.0
2024;female;undergraduate;engineering;weekly;concept explanation;no;16.2;1.1;84.5;77.0;77.4;3.24
2025;female;undergraduate;computer science;daily;studying/flashcards;no;20.6;7.3;82.8;91.4;94.2;4.0
2025;male;undergraduate;social sciences;weekly;studying/flashcards;no;22.6;5.6;95.4;87.8;84.3;3.67
2025;female;undergraduate;social sciences;weekly;concept explanation;yes;31.3;4.3;91.0;100.0;100.0;4.0
2025;female;undergraduate;business;daily;writing support;no;16.9;6.0;82.9;73.0;75.2;3.42
2023;female;undergraduate;health sciences;weekly;concept explanation;no;20.7;0.1;100.0;92.2;100.0;4.0
2024;female;undergraduate;business;weekly;concept explanation;yes;12.4;2.0;94.2;96.2;87.0;3.89
2024;male;undergraduate;education;weekly;translation;yes;19.7;2.3;83.2;69.5;89.1;3.57
2023;male;undergraduate;education;rarely;research/reading;yes;18.7;1.9;93.2;86.0;89.0;3.98
2025;male;undergraduate;engineering;daily;research/reading;yes;11.2;5.7;91.8;82.9;84.5;3.61
2024;female;undergraduate;health sciences;daily;translation;yes;17.6;6.9;89.3;83.0;76.5;3.31
2024;female;undergraduate;social sciences;weekly;concept explanation;yes;28.6;4.6;71.3;82.4;98.6;4.0
2024;female;undergraduate;engineering;weekly;research/reading;yes;18.7;3.6;92.0;87.2;84.1;3.5
2023;male;undergraduate;engineering;weekly;concept explanation;yes;20.5;3.7;89.7;92.8;99.3;4.0
2024;female;undergraduate;computer science;weekly;other;yes;18.65;3.0;91.9;84.4;88.1;3.77
2024;female;masters;education;rarely;concept explanation;yes;23.3;0.7;91.2;88.6;97.4;3.93
2023;female;undergraduate;business;weekly;writing support;no;19.1;4.0;88.2;92.4;90.9;3.76
2024;female;undergraduate;business;weekly;concept explanation;yes;20.9;5.2;84.0;97.7;100.0;4.0
2024;female;undergraduate;business;daily;translation;yes;17.2;5.9;89.6;73.3;82.2;3.3
2025;male;undergraduate;social sciences;daily;writing support;no;26.3;7.6;84.0;93.0;96.5;4.0
2025;female;undergraduate;business;daily;writing support;yes;7.0;8.9;100.0;85.0;92.8;3.68
2025;female;undergraduate;social sciences;daily;writing support;no;21.3;6.4;84.2;100.0;100.0;4.0
2025;male;masters;engineering;daily;writing support;yes;22.2;7.2;92.0;94.9;89.6;3.93
2023;female;undergraduate;business;weekly;research/reading;yes;21.0;3.9;87.1;80.3;97.3;3.93
2025;male;undergraduate;engineering;weekly;writing support;no;16.7;6.3;84.7;94.3;77.2;3.44
2023;male;masters;engineering;rarely;research/reading;yes;22.1;3.7;93.7;88.9;100.0;4.0
2024;female;undergraduate;engineering;weekly;writing support;yes;21.2;3.8;74.4;75.3;86.2;3.74
2024;female;masters;engineering;daily;research/reading;no;32.6;5.7;87.9;100.0;100.0;4.0
2025;male;undergraduate;computer science;daily;concept explanation;yes;6.4;7.9;100.0;73.6;76.1;3.33
2023;female;undergraduate;education;weekly;writing support;yes;30.6;2.8;88.4;86.4;96.4;3.92
2023;female;undergraduate;engineering;weekly;research/reading;yes;17.5;6.4;90.9;77.7;78.8;3.37
2024;female;undergraduate;arts humanities;weekly;translation;yes;18.3;2.8;83.8;73.9;79.9;3.49
2023;male;undergraduate;social sciences;weekly;writing support;yes;10.2;4.8;100.0;79.7;81.2;3.64
2025;male;undergraduate;business;daily;research/reading;yes;25.6;6.7;84.6;92.1;100.0;4.0
2023;female;undergraduate;arts humanities;rarely;other;yes;11.5;0.1;80.9;85.3;60.9;3.4
2024;female;undergraduate;engineering;weekly;studying/flashcards;yes;14.2;4.3;90.4;71.7;83.9;3.4
2025;female;undergraduate;arts humanities;daily;research/reading;no;17.7;4.4;95.8;87.0;99.3;4.0
2023;female;undergraduate;social sciences;weekly;research/reading;yes;9.6;3.4;94.1;87.8;83.5;3.78
2025;female;masters;social sciences;weekly;writing support;yes;12.4;3.0;79.9;82.0;72.9;3.31
2024;female;undergraduate;computer science;daily;other;yes;13.7;7.4;84.5;67.2;76.8;3.35
2023;nonbinary/other;undergraduate;computer science;never;translation;no;18.8;2.7;81.2;86.6;69.0;3.3
2023;female;undergraduate;engineering;daily;research/reading;yes;16.6;7.2;90.4;96.6;72.5;3.57
2024;female;undergraduate;social sciences;weekly;coding help;yes;25.5;6.6;87.5;85.6;89.9;3.79
2023;female;undergraduate;engineering;weekly;writing support;no;9.6;6.7;80.9;74.4;67.9;3.16
2023;male;undergraduate;business;daily;concept explanation;no;22.1;3.6;84.2;81.1;93.4;3.88
2025;female;undergraduate;business;daily;coding help;no;12.8;8.1;80.4;86.01;73.2;3.03
2023;female;undergraduate;business;weekly;coding help;no;14.2;3.1;81.7;84.4;70.5;3.33
2023;female;undergraduate;computer science;daily;research/reading;yes;18.89;8.4;88.3;100.0;100.0;4.0
2025;male;undergraduate;social sciences;weekly;studying/flashcards;yes;11.3;0.3;89.4;100.0;78.0;3.64
2023;male;undergraduate;business;daily;coding help;yes;15.6;8.7;91.1;95.5;81.0;3.61
2025;female;undergraduate;engineering;weekly;writing support;no;17.5;5.3;89.2;86.4;84.3;3.77
2024;female;undergraduate;computer science;weekly;research/reading;yes;18.6;4.3;90.7;86.4;100.0;3.93
2025;male;masters;business;never;coding help;no;8.4;0.7;89.9;85.5;77.8;3.52
2023;male;undergraduate;social sciences;never;studying/flashcards;yes;19.0;2.3;90.3;77.5;89.7;3.9
2025;male;undergraduate;education;daily;studying/flashcards;yes;13.3;7.8;90.6;86.4;74.3;3.55
2024;male;undergraduate;arts humanities;weekly;concept explanation;no;23.4;4.0;96.2;98.6;100.0;4.0
2024;female;masters;business;rarely;research/reading;yes;9.1;2.6;94.6;93.4;93.7;4.0
2024;female;undergraduate;computer science;daily;coding help;yes;22.9;8.8;85.6;85.7;65.3;3.36
2025;male;phd;computer science;weekly;concept explanation;yes;19.8;3.9;77.8;97.3;95.4;4.0
2024;male;undergraduate;engineering;never;research/reading;yes;9.7;4.6;95.5;74.5;69.3;3.3
2023;male;undergraduate;social sciences;weekly;writing support;yes;12.4;3.5;81.6;74.1;83.8;3.58
2025;female;undergraduate;engineering;daily;writing support;yes;20.0;8.6;94.1;84.2;90.4;3.7
2024;male;undergraduate;social sciences;rarely;research/reading;yes;18.2;0.6;79.2;83.8;81.4;3.56
2025;female;undergraduate;health sciences;rarely;writing support;yes;19.5;0.0;85.2;88.6;100.0;4.0
2024;female;undergraduate;health sciences;daily;translation;yes;12.7;4.9;87.4;80.3;71.6;3.28
2023;female;undergraduate;business;daily;writing support;yes;23.3;8.2;95.4;94.4;100.0;4.0
2023;female;masters;computer science;weekly;concept explanation;yes;18.6;3.2;81.0;79.6;80.7;3.39
2023;male;undergraduate;education;daily;writing support;yes;20.2;4.5;94.1;94.6;100.0;4.0
2025;nonbinary/other;undergraduate;arts humanities;daily;concept explanation;no;15.0;7.6;87.6;88.3;88.4;3.84
2024;male;undergraduate;social sciences;weekly;concept explanation;yes;28.2;4.4;93.5;94.6;88.8;3.93
2025;male;undergraduate;computer science;daily;studying/flashcards;yes;12.3;6.3;83.4;84.6;95.8;3.99
2024;male;undergraduate;business;daily;studying/flashcards;yes;3.9;1.5;94.7;84.3;62.9;3.18
2024;female;undergraduate;engineering;weekly;translation;no;18.5;6.9;90.0;94.1;96.6;4.0
2023;female;undergraduate;computer science;daily;writing support;yes;24.1;7.0;83.6;90.0;100.0;3.96
2024;female;masters;engineering;weekly;translation;yes;19.7;3.9;87.3;84.2;74.3;3.38
2025;female;masters;business;daily;studying/flashcards;yes;27.9;4.8;78.2;95.5;100.0;4.0
2024;male;undergraduate;education;weekly;studying/flashcards;yes;27.2;1.7;89.8;84.4;100.0;4.0
2025;male;undergraduate;business;weekly;concept explanation;yes;25.9;4.6;86.3;96.4;100.0;4.0
2023;male;masters;arts humanities;weekly;concept explanation;yes;18.7;0.2;90.6;87.2;86.6;3.69
2023;male;undergraduate;health sciences;rarely;concept explanation;yes;20.4;2.9;85.3;81.4;88.6;3.7
2023;male;undergraduate;computer science;daily;coding help;yes;21.5;5.0;81.0;76.2;91.4;3.77
2025;female;undergraduate;computer science;weekly;research/reading;no;24.5;0.3;79.8;87.5;80.9;3.71
2024;male;undergraduate;engineering;weekly;coding help;no;19.5;4.8;84.6;68.1;81.9;3.63
2023;male;undergraduate;education;daily;research/reading;no;23.4;4.6;87.1;90.9;100.0;4.0
2024;female;undergraduate;engineering;rarely;writing support;no;13.2;2.1;87.4;81.6;81.7;3.61
2023;female;undergraduate;engineering;weekly;research/reading;yes;11.5;4.2;86.6;83.6;78.8;3.3
2023;male;masters;health sciences;weekly;translation;yes;23.8;1.5;87.5;100.0;88.6;4.0
2023;female;masters;business;weekly;coding help;yes;21.0;2.4;80.3;76.9;79.2;3.44
2023;female;undergraduate;computer science;rarely;research/reading;no;15.6;1.6;84.3;69.4;70.4;3.13
2023;male;undergraduate;arts humanities;rarely;concept explanation;no;18.8;2.2;89.5;75.8;84.5;3.59
2024;female;undergraduate;computer science;daily;coding help;no;23.1;7.3;91.1;90.8;94.0;3.65
2024;male;masters;social sciences;weekly;research/reading;no;29.6;6.1;98.5;96.0;100.0;4.0
2023;female;undergraduate;engineering;weekly;other;yes;14.0;3.5;99.1;100.0;77.8;3.62
2025;female;masters;health sciences;weekly;other;no;21.8;3.1;98.9;85.4;87.5;3.68
2024;male;undergraduate;engineering;rarely;coding help;yes;8.3;3.8;85.3;90.6;71.9;3.47
2023;male;phd;health sciences;never;research/reading;yes;25.4;1.2;76.7;84.2;95.7;3.84
2023;female;undergraduate;computer science;weekly;writing support;yes;19.4;0.6;88.7;97.6;87.3;3.79
2024;male;undergraduate;engineering;daily;studying/flashcards;yes;17.8;5.6;86.6;89.8;100.0;4.0
2023;male;undergraduate;education;weekly;coding help;no;22.2;5.2;83.2;83.0;100.0;4.0
2025;male;masters;business;weekly;research/reading;yes;21.0;5.0;73.7;73.3;88.5;3.72
2024;female;undergraduate;social sciences;weekly;writing support;no;13.6;5.5;81.5;86.8;84.2;3.68
2025;male;undergraduate;computer science;daily;concept explanation;yes;17.4;6.8;80.3;83.9;86.5;3.69
2025;male;undergraduate;health sciences;daily;coding help;yes;17.7;7.0;85.2;84.9;84.5;3.78
2024;female;undergraduate;engineering;daily;writing support;no;14.3;9.6;91.8;88.9;100.0;4.0
2024;nonbinary/other;undergraduate;education;daily;writing support;yes;17.1;5.9;77.3;84.3;94.9;3.91
2024;male;undergraduate;engineering;weekly;concept explanation;yes;14.3;3.1;87.5;88.7;88.9;3.79
2025;female;undergraduate;engineering;daily;translation;yes;26.5;7.6;83.6;98.5;100.0;4.0
2024;male;undergraduate;health sciences;daily;concept explanation;yes;18.5;10.5;85.4;77.2;93.8;3.81
2025;female;undergraduate;social sciences;daily;writing support;no;12.4;7.6;87.3;73.8;82.3;3.51
2024;female;masters;health sciences;never;other;yes;24.8;0.9;99.4;95.6;93.3;3.94
2023;male;masters;computer science;weekly;other;no;23.8;2.2;79.0;72.6;96.6;4.0
2024;female;undergraduate;computer science;daily;translation;no;16.8;6.6;90.7;70.7;95.8;3.77
2023;female;undergraduate;health sciences;daily;studying/flashcards;no;22.8;5.8;85.9;92.7;95.6;4.0
2024;male;undergraduate;computer science;weekly;translation;yes;9.7;3.6;84.2;83.3;74.3;3.31
2025;male;undergraduate;engineering;daily;translation;yes;21.2;7.2;88.4;86.9;78.2;3.64
2023;male;undergraduate;engineering;weekly;coding help;no;21.4;4.5;91.9;82.6;100.0;4.0
2024;female;undergraduate;engineering;weekly;other;no;18.7;5.0;91.7;74.5;81.9;3.53
2023;male;undergraduate;engineering;never;translation;yes;24.4;1.3;85.0;89.4;81.4;3.39
2025;female;undergraduate;business;weekly;research/reading;no;18.6;2.5;83.7;77.5;84.5;3.92
2025;male;undergraduate;education;daily;concept explanation;yes;19.1;6.3;88.5;81.0;100.0;3.84
2023;female;undergraduate;health sciences;daily;coding help;yes;18.0;5.5;95.0;89.4;91.9;3.71
2024;female;undergraduate;health sciences;daily;studying/flashcards;yes;18.89;4.5;72.8;96.6;100.0;4.0
2024;male;undergraduate;education;daily;research/reading;no;24.7;6.5;86.7;76.5;87.3;3.71
2023;female;undergraduate;health sciences;weekly;concept explanation;yes;28.5;4.6;89.4;100.0;100.0;4.0
2024;female;undergraduate;business;daily;research/reading;yes;25.3;6.2;83.7;99.3;100.0;4.0
2023;male;undergraduate;social sciences;weekly;writing support;yes;13.9;3.0;85.4;85.4;78.1;3.5
2023;male;undergraduate;social sciences;daily;other;no;12.0;5.8;86.9;75.3;82.8;3.56
2024;male;undergraduate;engineering;daily;concept explanation;no;26.9;6.8;80.6;100.0;89.2;3.98
2023;male;undergraduate;health sciences;weekly;other;yes;12.7;4.6;76.7;65.7;85.2;3.84
2023;female;phd;computer science;weekly;concept explanation;yes;30.5;4.7;99.6;93.8;100.0;4.0
2025;nonbinary/other;undergraduate;computer science;daily;concept explanation;no;18.6;8.2;93.7;85.7;88.5;3.97
2023;female;masters;engineering;daily;other;yes;22.6;4.8;81.7;82.9;99.0;4.0
2023;male;masters;engineering;rarely;research/reading;no;18.2;3.9;85.3;84.7;77.4;3.59
2024;female;undergraduate;computer science;daily;writing support;yes;19.9;7.5;87.5;73.9;88.8;3.7
2023;male;undergraduate;engineering;daily;other;yes;15.0;7.6;84.2;86.9;73.6;3.41
2024;male;undergraduate;health sciences;rarely;studying/flashcards;yes;22.1;2.0;93.5;89.5;89.2;3.52
2023;female;undergraduate;engineering;weekly;writing support;no;16.9;4.2;87.8;91.9;86.1;3.8
2024;female;undergraduate;engineering;daily;translation;no;12.1;4.5;92.1;85.0;70.8;3.17
2025;male;undergraduate;business;daily;concept explanation;yes;3.9;7.9;70.6;86.01;74.1;3.26
2023;male;undergraduate;engineering;never;writing support;yes;18.1;2.0;100.0;91.8;79.2;3.72
2024;female;undergraduate;business;weekly;concept explanation;no;12.5;2.8;84.9;88.5;87.7;3.73
2024;male;undergraduate;social sciences;weekly;writing support;no;27.0;1.4;89.8;90.4;100.0;4.0
2023;female;undergraduate;computer science;never;coding help;yes;19.9;3.5;98.0;96.3;100.0;4.0
2023;male;undergraduate;engineering;daily;translation;yes;22.7;6.0;88.7;100.0;99.4;4.0
2025;male;undergraduate;engineering;daily;writing support;no;8.4;5.8;82.5;86.1;64.8;3.08
2023;male;undergraduate;social sciences;daily;writing support;yes;11.8;5.0;85.7;79.4;81.4;3.53
2023;male;undergraduate;engineering;weekly;studying/flashcards;yes;18.7;3.9;89.2;81.0;100.0;3.96
2023;male;undergraduate;arts humanities;weekly;writing support;no;13.2;3.9;92.3;89.6;91.8;3.97
2025;female;undergraduate;computer science;daily;research/reading;yes;7.8;10.1;90.3;90.6;78.2;3.69
2023;male;masters;engineering;weekly;writing support;yes;18.3;3.9;93.3;86.0;85.8;3.79
2023;female;masters;computer science;never;writing support;no;14.3;0.0;95.1;85.2;90.4;3.95
2025;male;undergraduate;arts humanities;weekly;research/reading;no;20.8;3.3;82.7;85.1;96.5;4.0
2025;female;undergraduate;health sciences;weekly;studying/flashcards;no;14.1;2.8;93.6;84.8;85.6;3.83
2025;female;undergraduate;social sciences;weekly;coding help;yes;15.7;5.4;96.2;90.2;90.2;3.97
2025;male;undergraduate;engineering;daily;studying/flashcards;yes;19.8;8.4;87.1;95.0;98.0;4.0
2024;male;undergraduate;health sciences;daily;writing support;yes;13.6;6.1;81.8;75.7;88.4;3.87
2024;female;undergraduate;engineering;rarely;writing support;yes;21.5;2.8;95.7;90.1;91.5;3.85
2025;male;undergraduate;education;weekly;writing support;yes;22.8;2.4;87.2;79.9;90.8;3.84
2023;female;undergraduate;business;weekly;coding help;no;29.6;1.5;93.8;90.1;100.0;4.0
2025;female;masters;business;daily;writing support;no;22.0;3.4;88.2;94.3;87.4;3.85
2024;female;undergraduate;health sciences;daily;studying/flashcards;yes;27.5;6.1;86.6;94.8;85.5;3.79
2024;male;masters;engineering;weekly;coding help;no;23.7;4.9;82.4;79.3;90.6;3.98
2024;male;undergraduate;engineering;daily;writing support;yes;22.0;5.7;84.0;85.3;80.2;3.7
2024;male;undergraduate;business;weekly;other;yes;19.4;3.5;79.7;82.1;84.9;3.73
2025;female;undergraduate;health sciences;daily;translation;yes;25.8;7.2;98.9;88.0;94.6;3.83
2024;male;undergraduate;engineering;weekly;writing support;yes;17.2;6.1;90.0;99.0;76.8;3.74
2023;male;undergraduate;business;daily;concept explanation;no;16.6;5.1;88.6;85.8;78.2;3.52
2024;female;undergraduate;business;rarely;writing support;yes;25.7;0.1;86.8;96.8;95.2;4.0
2023;female;undergraduate;health sciences;never;coding help;no;23.9;0.0;85.3;92.6;84.4;3.7
2023;male;undergraduate;business;daily;concept explanation;yes;14.2;5.6;88.1;65.8;80.6;3.53
2025;male;undergraduate;social sciences;weekly;research/reading;yes;18.65;2.0;86.0;78.4;87.66;3.02
2023;female;masters;business;weekly;research/reading;yes;18.3;5.5;90.4;89.1;86.0;3.85
2025;female;masters;arts humanities;daily;concept explanation;no;23.5;6.6;86.7;84.2;100.0;4.0
2023;female;undergraduate;social sciences;rarely;studying/flashcards;yes;15.3;0.4;70.8;88.8;72.7;3.25
2023;female;undergraduate;engineering;never;concept explanation;yes;11.9;2.6;99.0;78.1;71.8;3.31
2024;male;undergraduate;business;weekly;coding help;yes;16.3;4.6;88.5;83.2;85.3;3.58
2024;male;undergraduate;education;daily;research/reading;no;18.4;5.7;82.6;83.1;90.7;3.86
2025;male;undergraduate;business;rarely;coding help;no;20.0;2.1;79.2;80.6;77.1;3.46
2023;male;undergraduate;social sciences;daily;research/reading;no;24.2;5.8;83.3;91.1;100.0;4.0
2023;female;undergraduate;computer science;daily;concept explanation;yes;18.89;4.6;80.9;64.3;67.1;3.07
2024;female;undergraduate;social sciences;daily;studying/flashcards;yes;12.4;8.1;91.8;91.2;80.2;3.68
2023;male;masters;engineering;daily;studying/flashcards;yes;15.1;8.8;81.2;67.8;69.2;3.18
2023;male;undergraduate;arts humanities;weekly;research/reading;yes;13.1;4.6;93.2;84.8;86.9;3.87
2025;female;undergraduate;social sciences;daily;coding help;yes;13.5;6.4;86.0;89.0;82.4;3.8
2025;female;undergraduate;arts humanities;daily;research/reading;yes;24.2;5.6;91.4;97.7;100.0;4.0
2023;male;undergraduate;social sciences;daily;writing support;no;16.9;6.4;91.2;76.4;85.1;3.56
2024;male;undergraduate;business;weekly;coding help;no;14.2;1.6;88.7;68.4;80.9;3.36
2024;nonbinary/other;undergraduate;business;weekly;writing support;yes;16.4;2.5;79.7;77.4;88.7;3.48
2025;nonbinary/other;undergraduate;engineering;rarely;research/reading;no;10.5;3.8;88.0;83.4;80.4;3.52
2023;female;undergraduate;social sciences;weekly;writing support;yes;19.7;1.3;92.1;92.9;71.9;3.47
2024;male;masters;social sciences;weekly;other;yes;21.8;1.9;91.1;100.0;90.2;3.89
2024;male;phd;social sciences;weekly;writing support;no;30.6;5.5;89.5;90.9;100.0;4.0
2025;male;undergraduate;education;rarely;coding help;yes;25.4;2.2;83.5;91.8;100.0;4.0
2024;female;undergraduate;computer science;weekly;writing support;yes;21.1;2.9;85.9;86.4;100.0;4.0
2024;male;undergraduate;business;daily;concept explanation;yes;16.2;6.3;89.1;95.6;81.4;3.69
2024;male;masters;health sciences;rarely;concept explanation;yes;20.2;0.1;88.3;94.1;94.2;3.98
2025;female;undergraduate;business;daily;writing support;yes;15.6;9.3;99.6;90.2;81.3;3.84
2023;female;undergraduate;health sciences;rarely;writing support;no;24.9;2.0;91.2;97.5;93.4;3.9
2025;male;masters;social sciences;daily;coding help;yes;22.1;4.5;87.4;83.0;95.3;3.85
2025;male;undergraduate;business;weekly;research/reading;no;12.7;3.2;79.8;95.7;73.6;3.52
2023;male;phd;health sciences;weekly;writing support;yes;31.2;3.2;100.0;98.7;100.0;4.0
2023;male;undergraduate;social sciences;daily;studying/flashcards;yes;4.8;9.1;89.3;63.7;83.9;3.6
2025;male;masters;engineering;weekly;studying/flashcards;no;33.9;3.6;91.6;100.0;100.0;4.0
2025;female;undergraduate;engineering;daily;writing support;no;20.9;7.0;80.1;100.0;97.8;4.0
2023;male;undergraduate;computer science;weekly;concept explanation;yes;18.4;5.3;92.4;87.4;82.7;3.55
2024;female;undergraduate;business;rarely;translation;yes;16.9;0.0;96.0;87.9;89.4;3.78
2025;female;undergraduate;health sciences;daily;writing support;yes;14.0;6.9;86.2;97.0;88.6;3.9
2025;female;undergraduate;social sciences;daily;concept explanation;yes;20.7;4.8;92.3;100.0;82.6;3.9
2025;male;undergraduate;health sciences;daily;coding help;yes;22.7;7.5;82.8;85.2;95.0;3.86
2025;male;masters;business;weekly;studying/flashcards;yes;24.6;2.2;80.0;85.7;89.8;4.0
2025;female;undergraduate;health sciences;weekly;translation;no;14.7;4.1;83.7;87.7;79.3;3.75
2023;male;undergraduate;health sciences;weekly;writing support;yes;22.7;5.0;78.3;87.7;71.2;3.36
2025;male;undergraduate;engineering;weekly;concept explanation;yes;18.1;4.3;79.1;97.4;86.6;3.76
2023;female;undergraduate;health sciences;weekly;research/reading;yes;19.2;3.8;84.9;100.0;76.9;3.59
2025;male;undergraduate;social sciences;daily;research/reading;yes;14.7;6.1;81.1;76.3;64.3;3.06
2023;male;undergraduate;engineering;daily;research/reading;no;14.0;6.9;72.6;81.3;77.9;3.81
2023;female;masters;social sciences;weekly;research/reading;no;28.5;3.5;95.4;95.7;100.0;4.0
2024;male;masters;engineering;weekly;research/reading;no;22.6;5.9;90.1;98.3;95.9;3.8
2024;male;undergraduate;education;weekly;writing support;yes;2.6;1.8;89.6;90.6;83.1;3.68
2024;male;undergraduate;engineering;daily;studying/flashcards;yes;8.6;8.8;83.8;74.4;78.7;3.28
2023;male;undergraduate;business;rarely;writing support;yes;13.8;2.3;86.3;85.0;66.4;3.02
2023;female;undergraduate;engineering;weekly;concept explanation;yes;14.9;3.1;76.4;86.3;90.9;3.81
2023;female;undergraduate;computer science;rarely;concept explanation;yes;23.8;4.7;100.0;86.7;97.0;4.0
2023;female;undergraduate;health sciences;daily;coding help;yes;22.7;5.0;95.3;72.9;91.0;3.65
2024;male;masters;engineering;weekly;studying/flashcards;yes;23.4;4.4;75.8;87.6;91.5;3.92
2024;male;undergraduate;social sciences;daily;concept explanation;yes;16.7;5.6;85.8;98.6;100.0;4.0
2024;female;undergraduate;computer science;daily;other;yes;15.2;4.7;92.8;86.7;96.8;3.73
2024;female;undergraduate;arts humanities;weekly;concept explanation;no;20.8;5.9;100.0;78.6;91.2;3.94
2025;male;masters;business;daily;other;no;29.2;5.0;98.2;97.1;100.0;4.0
2024;female;masters;computer science;weekly;coding help;yes;25.3;3.9;85.1;91.8;96.7;4.0
2025;male;undergraduate;engineering;daily;concept explanation;yes;10.2;9.7;88.3;77.0;82.6;3.61
2025;female;masters;education;daily;coding help;yes;29.1;5.3;85.3;91.3;92.2;3.73
2023;male;undergraduate;engineering;weekly;studying/flashcards;yes;18.0;5.9;87.1;79.3;93.2;3.78
2023;female;undergraduate;computer science;weekly;coding help;yes;15.1;2.8;87.1;86.7;84.4;3.63
2025;male;undergraduate;social sciences;weekly;concept explanation;yes;16.9;2.3;90.0;84.9;90.1;4.0
2024;female;masters;engineering;daily;writing support;yes;20.3;8.1;85.5;92.2;95.6;3.79
2024;female;undergraduate;computer science;daily;other;yes;23.1;6.2;92.4;86.6;100.0;4.0
2025;female;masters;business;weekly;coding help;yes;23.1;1.8;91.5;96.0;100.0;4.0
2023;female;masters;computer science;weekly;concept explanation;yes;14.3;5.6;79.3;82.1;81.3;3.68
2023;male;undergraduate;health sciences;weekly;translation;yes;18.6;4.2;87.2;92.3;96.8;4.0
2025;female;undergraduate;business;daily;translation;no;25.7;5.9;85.2;88.9;90.5;4.0
2024;male;undergraduate;arts humanities;weekly;writing support;yes;23.0;4.2;84.9;90.2;85.0;3.66
2024;female;undergraduate;business;daily;concept explanation;yes;24.4;6.3;94.1;91.7;94.9;3.9
2024;female;undergraduate;computer science;rarely;translation;yes;24.9;0.2;87.9;100.0;88.2;3.8
2025;male;undergraduate;engineering;weekly;other;yes;12.8;3.2;87.5;86.01;77.3;3.09
2025;female;undergraduate;business;weekly;writing support;no;12.7;4.8;83.1;85.7;75.1;3.47
2025;male;undergraduate;engineering;daily;coding help;yes;19.1;7.4;82.7;72.6;86.3;3.9
2023;female;undergraduate;engineering;weekly;research/reading;yes;26.4;3.4;83.0;80.7;95.7;3.81
2024;female;undergraduate;business;daily;research/reading;yes;11.4;7.5;97.1;98.8;84.6;3.77
2023;female;undergraduate;computer science;daily;research/reading;no;17.7;5.1;86.7;89.2;89.7;3.9
2025;male;undergraduate;health sciences;rarely;research/reading;yes;10.4;1.5;89.6;90.9;79.2;3.8
2025;male;undergraduate;business;weekly;concept explanation;no;29.0;0.6;85.5;90.0;100.0;3.99
2023;female;undergraduate;social sciences;weekly;writing support;no;17.6;6.5;77.1;66.4;91.6;3.73
2023;female;undergraduate;engineering;daily;translation;yes;14.2;8.4;96.9;83.5;91.0;3.71
